"id","zipcode","facility_name","facility_code"
"dhl_facility_73505",73505,"COIMBRA",73
"dhl_facility_73509",73509,"COIMBRA",73
"dhl_facility_73510",73510,"COIMBRA",73
"dhl_facility_73511",73511,"COIMBRA",73
"dhl_facility_73514",73514,"COIMBRA",73
"dhl_facility_73515",73515,"COIMBRA",73
"dhl_facility_73519",73519,"COIMBRA",73
"dhl_facility_73520",73520,"COIMBRA",73
"dhl_facility_73521",73521,"COIMBRA",73
"dhl_facility_73524",73524,"COIMBRA",73
"dhl_facility_73525",73525,"COIMBRA",73
"dhl_facility_73530",73530,"COIMBRA",73
"dhl_facility_73531",73531,"COIMBRA",73
"dhl_facility_73534",73534,"COIMBRA",73
"dhl_facility_73550",73550,"COIMBRA",73
"dhl_facility_73551",73551,"COIMBRA",73
"dhl_facility_73554",73554,"COIMBRA",73
"dhl_facility_73560",73560,"COIMBRA",73
"dhl_facility_73561",73561,"COIMBRA",73
"dhl_facility_73570",73570,"COIMBRA",73
"dhl_facility_73600",73600,"COIMBRA",73
"dhl_facility_73610",73610,"COIMBRA",73
